Area,mnemonic,Economic activity rate - aged 16-64_Numerator,Economic activity rate - aged 16-64_Denominator,Economic activity rate - aged 16-64,Employment rate - aged 16-64_Numerator,Employment rate - aged 16-64_Denominator,Employment rate - aged 16-64,Unemployment rate - aged 16-64_Numerator,Unemployment rate - aged 16-64_Denominator,Unemployment rate - aged 16-64,Unemployment rate - aged 16+_Numerator,Unemployment rate - aged 16+_Denominator,Unemployment rate - aged 16+,% who are economically inactive - aged 16-64_Numerator,% who are economically inactive - aged 16-64_Denominator,% who are economically inactive - aged 16-64,% of economically inactive who want a job_Numerator,% of economically inactive who want a job_Denominator,% of economically inactive who want a job,% of economically inactive who do not want a job_Numerator,% of economically inactive who do not want a job_Denominator,% of economically inactive who do not want a job,Year,Area_Name,Area_Type
nuts316:Hartlepool and Stockton-on-Tees,UKC11,,,,,,,,,,,,,,,,,,,,,,2005,Hartlepool and Stockton-on-Tees,nuts316
nuts316:South Teesside,UKC12,,,,,,,,,,,,,,,,,,,,,,2005,South Teesside,nuts316
nuts316:Darlington,UKC13,,,,,,,,,,,,,,,,,,,,,,2005,Darlington,nuts316
nuts316:Durham CC,UKC14,,,,,,,,,,,,,,,,,,,,,,2005,Durham CC,nuts316
nuts316:Northumberland,UKC21,,,,,,,,,,,,,,,,,,,,,,2005,Northumberland,nuts316
nuts316:Tyneside,UKC22,,,,,,,,,,,,,,,,,,,,,,2005,Tyneside,nuts316
nuts316:Sunderland,UKC23,,,,,,,,,,,,,,,,,,,,,,2005,Sunderland,nuts316
nuts316:West Cumbria,UKD11,,,,,,,,,,,,,,,,,,,,,,2005,West Cumbria,nuts316
nuts316:East Cumbria,UKD12,,,,,,,,,,,,,,,,,,,,,,2005,East Cumbria,nuts316
nuts316:Manchester,UKD33,,,,,,,,,,,,,,,,,,,,,,2005,Manchester,nuts316
nuts316:Greater Manchester South West,UKD34,,,,,,,,,,,,,,,,,,,,,,2005,Greater Manchester South West,nuts316
nuts316:Greater Manchester South East,UKD35,,,,,,,,,,,,,,,,,,,,,,2005,Greater Manchester South East,nuts316
nuts316:Greater Manchester North West,UKD36,,,,,,,,,,,,,,,,,,,,,,2005,Greater Manchester North West,nuts316
nuts316:Greater Manchester North East,UKD37,,,,,,,,,,,,,,,,,,,,,,2005,Greater Manchester North East,nuts316
nuts316:Blackburn with Darwen,UKD41,,,,,,,,,,,,,,,,,,,,,,2005,Blackburn with Darwen,nuts316
nuts316:Blackpool,UKD42,,,,,,,,,,,,,,,,,,,,,,2005,Blackpool,nuts316
nuts316:Lancaster and Wyre,UKD44,,,,,,,,,,,,,,,,,,,,,,2005,Lancaster and Wyre,nuts316
nuts316:Mid Lancashire,UKD45,,,,,,,,,,,,,,,,,,,,,,2005,Mid Lancashire,nuts316
nuts316:East Lancashire,UKD46,,,,,,,,,,,,,,,,,,,,,,2005,East Lancashire,nuts316
nuts316:Chorley and West Lancashire,UKD47,,,,,,,,,,,,,,,,,,,,,,2005,Chorley and West Lancashire,nuts316
nuts316:Warrington,UKD61,,,,,,,,,,,,,,,,,,,,,,2005,Warrington,nuts316
nuts316:Cheshire East,UKD62,,,,,,,,,,,,,,,,,,,,,,2005,Cheshire East,nuts316
nuts316:Cheshire West and Chester,UKD63,,,,,,,,,,,,,,,,,,,,,,2005,Cheshire West and Chester,nuts316
nuts316:East Merseyside,UKD71,,,,,,,,,,,,,,,,,,,,,,2005,East Merseyside,nuts316
nuts316:Liverpool,UKD72,,,,,,,,,,,,,,,,,,,,,,2005,Liverpool,nuts316
nuts316:Sefton,UKD73,,,,,,,,,,,,,,,,,,,,,,2005,Sefton,nuts316
nuts316:Wirral,UKD74,,,,,,,,,,,,,,,,,,,,,,2005,Wirral,nuts316
"nuts316:Kingston upon Hull, City of",UKE11,,,,,,,,,,,,,,,,,,,,,,2005,"Kingston upon Hull, City of",nuts316
nuts316:East Riding of Yorkshire,UKE12,,,,,,,,,,,,,,,,,,,,,,2005,East Riding of Yorkshire,nuts316
nuts316:North and North East Lincolnshire,UKE13,,,,,,,,,,,,,,,,,,,,,,2005,North and North East Lincolnshire,nuts316
nuts316:York,UKE21,,,,,,,,,,,,,,,,,,,,,,2005,York,nuts316
nuts316:North Yorkshire CC,UKE22,,,,,,,,,,,,,,,,,,,,,,2005,North Yorkshire CC,nuts316
"nuts316:Barnsley, Doncaster and Rotherham",UKE31,,,,,,,,,,,,,,,,,,,,,,2005,"Barnsley, Doncaster and Rotherham",nuts316
nuts316:Sheffield,UKE32,,,,,,,,,,,,,,,,,,,,,,2005,Sheffield,nuts316
nuts316:Bradford,UKE41,,,,,,,,,,,,,,,,,,,,,,2005,Bradford,nuts316
nuts316:Leeds,UKE42,,,,,,,,,,,,,,,,,,,,,,2005,Leeds,nuts316
nuts316:Calderdale and Kirklees,UKE44,,,,,,,,,,,,,,,,,,,,,,2005,Calderdale and Kirklees,nuts316
nuts316:Wakefield,UKE45,,,,,,,,,,,,,,,,,,,,,,2005,Wakefield,nuts316
nuts316:Derby,UKF11,,,,,,,,,,,,,,,,,,,,,,2005,Derby,nuts316
nuts316:East Derbyshire,UKF12,,,,,,,,,,,,,,,,,,,,,,2005,East Derbyshire,nuts316
nuts316:South and West Derbyshire,UKF13,,,,,,,,,,,,,,,,,,,,,,2005,South and West Derbyshire,nuts316
nuts316:Nottingham,UKF14,,,,,,,,,,,,,,,,,,,,,,2005,Nottingham,nuts316
nuts316:North Nottinghamshire,UKF15,,,,,,,,,,,,,,,,,,,,,,2005,North Nottinghamshire,nuts316
nuts316:South Nottinghamshire,UKF16,,,,,,,,,,,,,,,,,,,,,,2005,South Nottinghamshire,nuts316
nuts316:Leicester,UKF21,,,,,,,,,,,,,,,,,,,,,,2005,Leicester,nuts316
nuts316:Leicestershire CC and Rutland,UKF22,,,,,,,,,,,,,,,,,,,,,,2005,Leicestershire CC and Rutland,nuts316
nuts316:West Northamptonshire,UKF24,,,,,,,,,,,,,,,,,,,,,,2005,West Northamptonshire,nuts316
nuts316:North Northamptonshire,UKF25,,,,,,,,,,,,,,,,,,,,,,2005,North Northamptonshire,nuts316
nuts316:Lincolnshire,UKF30,,,,,,,,,,,,,,,,,,,,,,2005,Lincolnshire,nuts316
"nuts316:Herefordshire, County of",UKG11,,,,,,,,,,,,,,,,,,,,,,2005,"Herefordshire, County of",nuts316
nuts316:Worcestershire,UKG12,,,,,,,,,,,,,,,,,,,,,,2005,Worcestershire,nuts316
nuts316:Warwickshire,UKG13,,,,,,,,,,,,,,,,,,,,,,2005,Warwickshire,nuts316
nuts316:Telford and Wrekin,UKG21,,,,,,,,,,,,,,,,,,,,,,2005,Telford and Wrekin,nuts316
nuts316:Shropshire CC,UKG22,,,,,,,,,,,,,,,,,,,,,,2005,Shropshire CC,nuts316
nuts316:Stoke-on-Trent,UKG23,,,,,,,,,,,,,,,,,,,,,,2005,Stoke-on-Trent,nuts316
nuts316:Staffordshire CC,UKG24,,,,,,,,,,,,,,,,,,,,,,2005,Staffordshire CC,nuts316
nuts316:Birmingham,UKG31,,,,,,,,,,,,,,,,,,,,,,2005,Birmingham,nuts316
nuts316:Solihull,UKG32,,,,,,,,,,,,,,,,,,,,,,2005,Solihull,nuts316
nuts316:Coventry,UKG33,,,,,,,,,,,,,,,,,,,,,,2005,Coventry,nuts316
nuts316:Dudley,UKG36,,,,,,,,,,,,,,,,,,,,,,2005,Dudley,nuts316
nuts316:Sandwell,UKG37,,,,,,,,,,,,,,,,,,,,,,2005,Sandwell,nuts316
nuts316:Walsall,UKG38,,,,,,,,,,,,,,,,,,,,,,2005,Walsall,nuts316
nuts316:Wolverhampton,UKG39,,,,,,,,,,,,,,,,,,,,,,2005,Wolverhampton,nuts316
nuts316:Peterborough,UKH11,,,,,,,,,,,,,,,,,,,,,,2005,Peterborough,nuts316
nuts316:Cambridgeshire CC,UKH12,,,,,,,,,,,,,,,,,,,,,,2005,Cambridgeshire CC,nuts316
nuts316:Suffolk,UKH14,,,,,,,,,,,,,,,,,,,,,,2005,Suffolk,nuts316
nuts316:Norwich and East Norfolk,UKH15,,,,,,,,,,,,,,,,,,,,,,2005,Norwich and East Norfolk,nuts316
nuts316:North and West Norfolk,UKH16,,,,,,,,,,,,,,,,,,,,,,2005,North and West Norfolk,nuts316
nuts316:Breckland and South Norfolk,UKH17,,,,,,,,,,,,,,,,,,,,,,2005,Breckland and South Norfolk,nuts316
nuts316:Luton,UKH21,,,,,,,,,,,,,,,,,,,,,,2005,Luton,nuts316
nuts316:Hertfordshire,UKH23,,,,,,,,,,,,,,,,,,,,,,2005,Hertfordshire,nuts316
nuts316:Bedford,UKH24,,,,,,,,,,,,,,,,,,,,,,2005,Bedford,nuts316
nuts316:Central Bedfordshire,UKH25,,,,,,,,,,,,,,,,,,,,,,2005,Central Bedfordshire,nuts316
nuts316:Southend-on-Sea,UKH31,,,,,,,,,,,,,,,,,,,,,,2005,Southend-on-Sea,nuts316
nuts316:Thurrock,UKH32,,,,,,,,,,,,,,,,,,,,,,2005,Thurrock,nuts316
nuts316:Essex Haven Gateway,UKH34,,,,,,,,,,,,,,,,,,,,,,2005,Essex Haven Gateway,nuts316
nuts316:West Essex,UKH35,,,,,,,,,,,,,,,,,,,,,,2005,West Essex,nuts316
nuts316:Heart of Essex,UKH36,,,,,,,,,,,,,,,,,,,,,,2005,Heart of Essex,nuts316
nuts316:Essex Thames Gateway,UKH37,,,,,,,,,,,,,,,,,,,,,,2005,Essex Thames Gateway,nuts316
nuts316:Camden and City of London,UKI31,,,,,,,,,,,,,,,,,,,,,,2005,Camden and City of London,nuts316
nuts316:Westminster,UKI32,,,,,,,,,,,,,,,,,,,,,,2005,Westminster,nuts316
nuts316:Kensington & Chelsea and Hammersmith & Fulham,UKI33,,,,,,,,,,,,,,,,,,,,,,2005,Kensington & Chelsea and Hammersmith & Fulham,nuts316
nuts316:Wandsworth,UKI34,,,,,,,,,,,,,,,,,,,,,,2005,Wandsworth,nuts316
nuts316:Hackney and Newham,UKI41,,,,,,,,,,,,,,,,,,,,,,2005,Hackney and Newham,nuts316
nuts316:Tower Hamlets,UKI42,,,,,,,,,,,,,,,,,,,,,,2005,Tower Hamlets,nuts316
nuts316:Haringey and Islington,UKI43,,,,,,,,,,,,,,,,,,,,,,2005,Haringey and Islington,nuts316
nuts316:Lewisham and Southwark,UKI44,,,,,,,,,,,,,,,,,,,,,,2005,Lewisham and Southwark,nuts316
nuts316:Lambeth,UKI45,,,,,,,,,,,,,,,,,,,,,,2005,Lambeth,nuts316
nuts316:Bexley and Greenwich,UKI51,,,,,,,,,,,,,,,,,,,,,,2005,Bexley and Greenwich,nuts316
nuts316:Barking & Dagenham and Havering,UKI52,,,,,,,,,,,,,,,,,,,,,,2005,Barking & Dagenham and Havering,nuts316
nuts316:Redbridge and Waltham Forest,UKI53,,,,,,,,,,,,,,,,,,,,,,2005,Redbridge and Waltham Forest,nuts316
nuts316:Enfield,UKI54,,,,,,,,,,,,,,,,,,,,,,2005,Enfield,nuts316
nuts316:Bromley,UKI61,,,,,,,,,,,,,,,,,,,,,,2005,Bromley,nuts316
nuts316:Croydon,UKI62,,,,,,,,,,,,,,,,,,,,,,2005,Croydon,nuts316
"nuts316:Merton, Kingston upon Thames and Sutton",UKI63,,,,,,,,,,,,,,,,,,,,,,2005,"Merton, Kingston upon Thames and Sutton",nuts316
nuts316:Barnet,UKI71,,,,,,,,,,,,,,,,,,,,,,2005,Barnet,nuts316
nuts316:Brent,UKI72,,,,,,,,,,,,,,,,,,,,,,2005,Brent,nuts316
nuts316:Ealing,UKI73,,,,,,,,,,,,,,,,,,,,,,2005,Ealing,nuts316
nuts316:Harrow and Hillingdon,UKI74,,,,,,,,,,,,,,,,,,,,,,2005,Harrow and Hillingdon,nuts316
nuts316:Hounslow and Richmond upon Thames,UKI75,,,,,,,,,,,,,,,,,,,,,,2005,Hounslow and Richmond upon Thames,nuts316
nuts316:Berkshire,UKJ11,,,,,,,,,,,,,,,,,,,,,,2005,Berkshire,nuts316
nuts316:Milton Keynes,UKJ12,,,,,,,,,,,,,,,,,,,,,,2005,Milton Keynes,nuts316
nuts316:Buckinghamshire CC,UKJ13,,,,,,,,,,,,,,,,,,,,,,2005,Buckinghamshire CC,nuts316
nuts316:Oxfordshire,UKJ14,,,,,,,,,,,,,,,,,,,,,,2005,Oxfordshire,nuts316
nuts316:Brighton and Hove,UKJ21,,,,,,,,,,,,,,,,,,,,,,2005,Brighton and Hove,nuts316
nuts316:East Sussex CC,UKJ22,,,,,,,,,,,,,,,,,,,,,,2005,East Sussex CC,nuts316
nuts316:West Surrey,UKJ25,,,,,,,,,,,,,,,,,,,,,,2005,West Surrey,nuts316
nuts316:East Surrey,UKJ26,,,,,,,,,,,,,,,,,,,,,,2005,East Surrey,nuts316
nuts316:West Sussex (South West),UKJ27,,,,,,,,,,,,,,,,,,,,,,2005,West Sussex (South West),nuts316
nuts316:West Sussex (North East),UKJ28,,,,,,,,,,,,,,,,,,,,,,2005,West Sussex (North East),nuts316
nuts316:Portsmouth,UKJ31,,,,,,,,,,,,,,,,,,,,,,2005,Portsmouth,nuts316
nuts316:Southampton,UKJ32,,,,,,,,,,,,,,,,,,,,,,2005,Southampton,nuts316
nuts316:Isle of Wight,UKJ34,,,,,,,,,,,,,,,,,,,,,,2005,Isle of Wight,nuts316
nuts316:South Hampshire,UKJ35,,,,,,,,,,,,,,,,,,,,,,2005,South Hampshire,nuts316
nuts316:Central Hampshire,UKJ36,,,,,,,,,,,,,,,,,,,,,,2005,Central Hampshire,nuts316
nuts316:North Hampshire,UKJ37,,,,,,,,,,,,,,,,,,,,,,2005,North Hampshire,nuts316
nuts316:Medway,UKJ41,,,,,,,,,,,,,,,,,,,,,,2005,Medway,nuts316
nuts316:Kent Thames Gateway,UKJ43,,,,,,,,,,,,,,,,,,,,,,2005,Kent Thames Gateway,nuts316
nuts316:East Kent,UKJ44,,,,,,,,,,,,,,,,,,,,,,2005,East Kent,nuts316
nuts316:Mid Kent,UKJ45,,,,,,,,,,,,,,,,,,,,,,2005,Mid Kent,nuts316
nuts316:West Kent,UKJ46,,,,,,,,,,,,,,,,,,,,,,2005,West Kent,nuts316
"nuts316:Bristol, City of",UKK11,,,,,,,,,,,,,,,,,,,,,,2005,"Bristol, City of",nuts316
"nuts316:Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12,,,,,,,,,,,,,,,,,,,,,,2005,"Bath and North East Somerset, North Somerset and South Gloucestershire",nuts316
nuts316:Gloucestershire,UKK13,,,,,,,,,,,,,,,,,,,,,,2005,Gloucestershire,nuts316
nuts316:Swindon,UKK14,,,,,,,,,,,,,,,,,,,,,,2005,Swindon,nuts316
nuts316:Wiltshire,UKK15,,,,,,,,,,,,,,,,,,,,,,2005,Wiltshire,nuts316
nuts316:Bournemouth and Poole,UKK21,,,,,,,,,,,,,,,,,,,,,,2005,Bournemouth and Poole,nuts316
nuts316:Dorset CC,UKK22,,,,,,,,,,,,,,,,,,,,,,2005,Dorset CC,nuts316
nuts316:Somerset,UKK23,,,,,,,,,,,,,,,,,,,,,,2005,Somerset,nuts316
nuts316:Cornwall and Isles of Scilly,UKK30,,,,,,,,,,,,,,,,,,,,,,2005,Cornwall and Isles of Scilly,nuts316
nuts316:Plymouth,UKK41,,,,,,,,,,,,,,,,,,,,,,2005,Plymouth,nuts316
nuts316:Torbay,UKK42,,,,,,,,,,,,,,,,,,,,,,2005,Torbay,nuts316
nuts316:Devon CC,UKK43,,,,,,,,,,,,,,,,,,,,,,2005,Devon CC,nuts316
nuts316:Isle of Anglesey,UKL11,,,,,,,,,,,,,,,,,,,,,,2005,Isle of Anglesey,nuts316
nuts316:Gwynedd,UKL12,,,,,,,,,,,,,,,,,,,,,,2005,Gwynedd,nuts316
nuts316:Conwy and Denbighshire,UKL13,,,,,,,,,,,,,,,,,,,,,,2005,Conwy and Denbighshire,nuts316
nuts316:South West Wales,UKL14,,,,,,,,,,,,,,,,,,,,,,2005,South West Wales,nuts316
nuts316:Central Valleys,UKL15,,,,,,,,,,,,,,,,,,,,,,2005,Central Valleys,nuts316
nuts316:Gwent Valleys,UKL16,,,,,,,,,,,,,,,,,,,,,,2005,Gwent Valleys,nuts316
nuts316:Bridgend and Neath Port Talbot,UKL17,,,,,,,,,,,,,,,,,,,,,,2005,Bridgend and Neath Port Talbot,nuts316
nuts316:Swansea,UKL18,,,,,,,,,,,,,,,,,,,,,,2005,Swansea,nuts316
nuts316:Monmouthshire and Newport,UKL21,,,,,,,,,,,,,,,,,,,,,,2005,Monmouthshire and Newport,nuts316
nuts316:Cardiff and Vale of Glamorgan,UKL22,,,,,,,,,,,,,,,,,,,,,,2005,Cardiff and Vale of Glamorgan,nuts316
nuts316:Flintshire and Wrexham,UKL23,,,,,,,,,,,,,,,,,,,,,,2005,Flintshire and Wrexham,nuts316
nuts316:Powys,UKL24,,,,,,,,,,,,,,,,,,,,,,2005,Powys,nuts316
nuts316:Aberdeen City and Aberdeenshire,UKM50,,,,,,,,,,,,,,,,,,,,,,2005,Aberdeen City and Aberdeenshire,nuts316
nuts316:Caithness & Sutherland and Ross & Cromarty,UKM61,,,,,,,,,,,,,,,,,,,,,,2005,Caithness & Sutherland and Ross & Cromarty,nuts316
"nuts316:Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62,,,,,,,,,,,,,,,,,,,,,,2005,"Inverness & Nairn and Moray, Badenoch & Strathspey",nuts316
"nuts316:Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",UKM63,,,,,,,,,,,,,,,,,,,,,,2005,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",nuts316
nuts316:Na h-Eileanan Siar (Western Isles),UKM64,,,,,,,,,,,,,,,,,,,,,,2005,Na h-Eileanan Siar (Western Isles),nuts316
nuts316:Orkney Islands,UKM65,,,,,,,,,,,,,,,,,,,,,,2005,Orkney Islands,nuts316
nuts316:Shetland Islands,UKM66,,,,,,,,,,,,,,,,,,,,,,2005,Shetland Islands,nuts316
nuts316:Angus and Dundee City,UKM71,,,,,,,,,,,,,,,,,,,,,,2005,Angus and Dundee City,nuts316
nuts316:Clackmannanshire and Fife,UKM72,,,,,,,,,,,,,,,,,,,,,,2005,Clackmannanshire and Fife,nuts316
nuts316:East Lothian and Midlothian,UKM73,,,,,,,,,,,,,,,,,,,,,,2005,East Lothian and Midlothian,nuts316
"nuts316:Edinburgh, City of",UKM75,,,,,,,,,,,,,,,,,,,,,,2005,"Edinburgh, City of",nuts316
nuts316:Falkirk,UKM76,,,,,,,,,,,,,,,,,,,,,,2005,Falkirk,nuts316
nuts316:Perth & Kinross and Stirling,UKM77,,,,,,,,,,,,,,,,,,,,,,2005,Perth & Kinross and Stirling,nuts316
nuts316:West Lothian,UKM78,,,,,,,,,,,,,,,,,,,,,,2005,West Lothian,nuts316
"nuts316:East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81,,,,,,,,,,,,,,,,,,,,,,2005,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",nuts316
nuts316:Glasgow City,UKM82,,,,,,,,,,,,,,,,,,,,,,2005,Glasgow City,nuts316
"nuts316:Inverclyde, East Renfrewshire and Renfrewshire",UKM83,,,,,,,,,,,,,,,,,,,,,,2005,"Inverclyde, East Renfrewshire and Renfrewshire",nuts316
nuts316:North Lanarkshire,UKM84,,,,,,,,,,,,,,,,,,,,,,2005,North Lanarkshire,nuts316
nuts316:Scottish Borders,UKM91,,,,,,,,,,,,,,,,,,,,,,2005,Scottish Borders,nuts316
nuts316:Dumfries & Galloway,UKM92,,,,,,,,,,,,,,,,,,,,,,2005,Dumfries & Galloway,nuts316
nuts316:East Ayrshire and North Ayrshire mainland,UKM93,,,,,,,,,,,,,,,,,,,,,,2005,East Ayrshire and North Ayrshire mainland,nuts316
nuts316:South Ayrshire,UKM94,,,,,,,,,,,,,,,,,,,,,,2005,South Ayrshire,nuts316
nuts316:South Lanarkshire,UKM95,,,,,,,,,,,,,,,,,,,,,,2005,South Lanarkshire,nuts316
nuts316:Hartlepool and Stockton-on-Tees,UKC11,,,,,,,,,,,,,,,,,,,,,,2006,Hartlepool and Stockton-on-Tees,nuts316
nuts316:South Teesside,UKC12,,,,,,,,,,,,,,,,,,,,,,2006,South Teesside,nuts316
nuts316:Darlington,UKC13,,,,,,,,,,,,,,,,,,,,,,2006,Darlington,nuts316
nuts316:Durham CC,UKC14,,,,,,,,,,,,,,,,,,,,,,2006,Durham CC,nuts316
nuts316:Northumberland,UKC21,,,,,,,,,,,,,,,,,,,,,,2006,Northumberland,nuts316
nuts316:Tyneside,UKC22,,,,,,,,,,,,,,,,,,,,,,2006,Tyneside,nuts316
nuts316:Sunderland,UKC23,,,,,,,,,,,,,,,,,,,,,,2006,Sunderland,nuts316
nuts316:West Cumbria,UKD11,,,,,,,,,,,,,,,,,,,,,,2006,West Cumbria,nuts316
nuts316:East Cumbria,UKD12,,,,,,,,,,,,,,,,,,,,,,2006,East Cumbria,nuts316
nuts316:Manchester,UKD33,,,,,,,,,,,,,,,,,,,,,,2006,Manchester,nuts316
nuts316:Greater Manchester South West,UKD34,,,,,,,,,,,,,,,,,,,,,,2006,Greater Manchester South West,nuts316
nuts316:Greater Manchester South East,UKD35,,,,,,,,,,,,,,,,,,,,,,2006,Greater Manchester South East,nuts316
nuts316:Greater Manchester North West,UKD36,,,,,,,,,,,,,,,,,,,,,,2006,Greater Manchester North West,nuts316
nuts316:Greater Manchester North East,UKD37,,,,,,,,,,,,,,,,,,,,,,2006,Greater Manchester North East,nuts316
nuts316:Blackburn with Darwen,UKD41,,,,,,,,,,,,,,,,,,,,,,2006,Blackburn with Darwen,nuts316
nuts316:Blackpool,UKD42,,,,,,,,,,,,,,,,,,,,,,2006,Blackpool,nuts316
nuts316:Lancaster and Wyre,UKD44,,,,,,,,,,,,,,,,,,,,,,2006,Lancaster and Wyre,nuts316
nuts316:Mid Lancashire,UKD45,,,,,,,,,,,,,,,,,,,,,,2006,Mid Lancashire,nuts316
nuts316:East Lancashire,UKD46,,,,,,,,,,,,,,,,,,,,,,2006,East Lancashire,nuts316
nuts316:Chorley and West Lancashire,UKD47,,,,,,,,,,,,,,,,,,,,,,2006,Chorley and West Lancashire,nuts316
nuts316:Warrington,UKD61,,,,,,,,,,,,,,,,,,,,,,2006,Warrington,nuts316
nuts316:Cheshire East,UKD62,,,,,,,,,,,,,,,,,,,,,,2006,Cheshire East,nuts316
nuts316:Cheshire West and Chester,UKD63,,,,,,,,,,,,,,,,,,,,,,2006,Cheshire West and Chester,nuts316
nuts316:East Merseyside,UKD71,,,,,,,,,,,,,,,,,,,,,,2006,East Merseyside,nuts316
nuts316:Liverpool,UKD72,,,,,,,,,,,,,,,,,,,,,,2006,Liverpool,nuts316
nuts316:Sefton,UKD73,,,,,,,,,,,,,,,,,,,,,,2006,Sefton,nuts316
nuts316:Wirral,UKD74,,,,,,,,,,,,,,,,,,,,,,2006,Wirral,nuts316
"nuts316:Kingston upon Hull, City of",UKE11,,,,,,,,,,,,,,,,,,,,,,2006,"Kingston upon Hull, City of",nuts316
nuts316:East Riding of Yorkshire,UKE12,,,,,,,,,,,,,,,,,,,,,,2006,East Riding of Yorkshire,nuts316
nuts316:North and North East Lincolnshire,UKE13,,,,,,,,,,,,,,,,,,,,,,2006,North and North East Lincolnshire,nuts316
nuts316:York,UKE21,,,,,,,,,,,,,,,,,,,,,,2006,York,nuts316
nuts316:North Yorkshire CC,UKE22,,,,,,,,,,,,,,,,,,,,,,2006,North Yorkshire CC,nuts316
"nuts316:Barnsley, Doncaster and Rotherham",UKE31,,,,,,,,,,,,,,,,,,,,,,2006,"Barnsley, Doncaster and Rotherham",nuts316
nuts316:Sheffield,UKE32,,,,,,,,,,,,,,,,,,,,,,2006,Sheffield,nuts316
nuts316:Bradford,UKE41,,,,,,,,,,,,,,,,,,,,,,2006,Bradford,nuts316
nuts316:Leeds,UKE42,,,,,,,,,,,,,,,,,,,,,,2006,Leeds,nuts316
nuts316:Calderdale and Kirklees,UKE44,,,,,,,,,,,,,,,,,,,,,,2006,Calderdale and Kirklees,nuts316
nuts316:Wakefield,UKE45,,,,,,,,,,,,,,,,,,,,,,2006,Wakefield,nuts316
nuts316:Derby,UKF11,,,,,,,,,,,,,,,,,,,,,,2006,Derby,nuts316
nuts316:East Derbyshire,UKF12,,,,,,,,,,,,,,,,,,,,,,2006,East Derbyshire,nuts316
nuts316:South and West Derbyshire,UKF13,,,,,,,,,,,,,,,,,,,,,,2006,South and West Derbyshire,nuts316
nuts316:Nottingham,UKF14,,,,,,,,,,,,,,,,,,,,,,2006,Nottingham,nuts316
nuts316:North Nottinghamshire,UKF15,,,,,,,,,,,,,,,,,,,,,,2006,North Nottinghamshire,nuts316
nuts316:South Nottinghamshire,UKF16,,,,,,,,,,,,,,,,,,,,,,2006,South Nottinghamshire,nuts316
nuts316:Leicester,UKF21,,,,,,,,,,,,,,,,,,,,,,2006,Leicester,nuts316
nuts316:Leicestershire CC and Rutland,UKF22,,,,,,,,,,,,,,,,,,,,,,2006,Leicestershire CC and Rutland,nuts316
nuts316:West Northamptonshire,UKF24,,,,,,,,,,,,,,,,,,,,,,2006,West Northamptonshire,nuts316
nuts316:North Northamptonshire,UKF25,,,,,,,,,,,,,,,,,,,,,,2006,North Northamptonshire,nuts316
nuts316:Lincolnshire,UKF30,,,,,,,,,,,,,,,,,,,,,,2006,Lincolnshire,nuts316
"nuts316:Herefordshire, County of",UKG11,,,,,,,,,,,,,,,,,,,,,,2006,"Herefordshire, County of",nuts316
nuts316:Worcestershire,UKG12,,,,,,,,,,,,,,,,,,,,,,2006,Worcestershire,nuts316
nuts316:Warwickshire,UKG13,,,,,,,,,,,,,,,,,,,,,,2006,Warwickshire,nuts316
nuts316:Telford and Wrekin,UKG21,,,,,,,,,,,,,,,,,,,,,,2006,Telford and Wrekin,nuts316
nuts316:Shropshire CC,UKG22,,,,,,,,,,,,,,,,,,,,,,2006,Shropshire CC,nuts316
nuts316:Stoke-on-Trent,UKG23,,,,,,,,,,,,,,,,,,,,,,2006,Stoke-on-Trent,nuts316
nuts316:Staffordshire CC,UKG24,,,,,,,,,,,,,,,,,,,,,,2006,Staffordshire CC,nuts316
nuts316:Birmingham,UKG31,,,,,,,,,,,,,,,,,,,,,,2006,Birmingham,nuts316
nuts316:Solihull,UKG32,,,,,,,,,,,,,,,,,,,,,,2006,Solihull,nuts316
nuts316:Coventry,UKG33,,,,,,,,,,,,,,,,,,,,,,2006,Coventry,nuts316
nuts316:Dudley,UKG36,,,,,,,,,,,,,,,,,,,,,,2006,Dudley,nuts316
nuts316:Sandwell,UKG37,,,,,,,,,,,,,,,,,,,,,,2006,Sandwell,nuts316
nuts316:Walsall,UKG38,,,,,,,,,,,,,,,,,,,,,,2006,Walsall,nuts316
nuts316:Wolverhampton,UKG39,,,,,,,,,,,,,,,,,,,,,,2006,Wolverhampton,nuts316
nuts316:Peterborough,UKH11,,,,,,,,,,,,,,,,,,,,,,2006,Peterborough,nuts316
nuts316:Cambridgeshire CC,UKH12,,,,,,,,,,,,,,,,,,,,,,2006,Cambridgeshire CC,nuts316
nuts316:Suffolk,UKH14,,,,,,,,,,,,,,,,,,,,,,2006,Suffolk,nuts316
nuts316:Norwich and East Norfolk,UKH15,,,,,,,,,,,,,,,,,,,,,,2006,Norwich and East Norfolk,nuts316
nuts316:North and West Norfolk,UKH16,,,,,,,,,,,,,,,,,,,,,,2006,North and West Norfolk,nuts316
nuts316:Breckland and South Norfolk,UKH17,,,,,,,,,,,,,,,,,,,,,,2006,Breckland and South Norfolk,nuts316
nuts316:Luton,UKH21,,,,,,,,,,,,,,,,,,,,,,2006,Luton,nuts316
